context,question,answer
"potentially ignite fuel vapors and cause fire.

18. Avoid entry inside vehicle immediately once after you have begun refueling. You can generate a build up of static electricity by
touching, rubbing or sliding against any item or fabric capable of producing static electricity. Static electricity discharge can
ignite fuel vapors and may causing a fire.

19. Do not check the engine room / open the hood near the fire area (Outside the vehicle). Fuel, washer fluid, etc. are flammable

oils that may cause fire.

20. Avoid driving when vehicle has met with an accident . Before driving, Please contact with authorized MSIL dealership.

VIN:

MODEL:

VARIANT:

COLOUR:

ENGINE NO.:

KEY NO.:

INVOICE DATE:

ODOMETER READING

REGISTRATION NO.:

BATTERY MAKE:

BATTERY NO.:

BATTERY BATCH

OWNER
NAME & 
ADDRESS

CONTACT NO.

E-mail ID:

SELLING
KM DEALER NAME 
& CODE

DEALER
SHOWROOM
ADDRESS & 
CONTACT NO. 
(STAMP)

CONTACT NO. 
FOR SERVICE 
APPOINTMENT
& SUPPORT

TYRE

 MAKE  

 BATCH CODE",What precautions should be taken when refueling a vehicle?,"To avoid any potential hazards, it is important to avoid entering the vehicle immediately after beginning refueling. This is because touching, rubbing, or sliding against any item or fabric capable of producing static electricity can generate a build-up of static electricity. Discharging static electricity can ignite fuel vapors and potentially cause a fire."
"CONTACT NO. 
FOR SERVICE 
APPOINTMENT
& SUPPORT

TYRE

 MAKE  

 BATCH CODE

Front Right

Front Left

Rear Right

Rear Left

Spare

For any assistance with regard to our product, please contact General Manager/Works Manager at any of our Maruti Suzuki authorised Nexa
dealer  /  Maruti  Suzuki  authorised  workshop.  For  additional  enquiry  you  may  contact  our  Regional  Office  or  Service  Department.  The
addresses and phone numbers are given in Service Network section of this Manual.

WARRANTY POLICY

Maruti  Suzuki  India  Limited  (hereinafter  called  “Maruti  Suzuki”),
warrants that each new Maruti Suzuki vehicle distributed in India
by  Maruti  Suzuki  and  sold  by  a  Maruti  Suzuki  authorised  dealer
will  be  free,  under  normal  use  and  service,  from  any  defects  in
material and workmanship at the time of manufacture SUBJECT
TO THE FOLLOWING TERMS AND CONDITIONS:",Who should I contact for service appointment and support?,You should contact the General Manager/Works Manager at any of our Maruti Suzuki authorised Nexa dealer / Maruti Suzuki authorised workshop for service appointment and support.
"(1) Qualification:
To  qualify  for  this  warranty  the  vehicle  must  be  delivered  by  a
Maruti  Suzuki  authorised  dealer  and  set-up,  and  serviced  by  a
Maruti Suzuki authorised workshop.

(2) Term:
The term of the warranty shall be twenty-four (24) months or
40,000  kilometers  (whichever  occurs  first)  from  the  date  of
invoice to the first owner.",What are the qualifications for the warranty to be valid?,"To qualify for the warranty, the vehicle must be delivered by a Maruti Suzuki authorised dealer and set-up, and serviced by a Maruti Suzuki authorised workshop."
"(3) Maruti Suzuki Warranty Obligation:
If any defect(s) should be found in a Maruti Suzuki vehicle within
the  term  stipulated  above,  Maruti  Suzuki’s  only  obligation  is  to
repair or replace at its sole discretion any part shown to be defec-
tive, with a new part or the equivalent at no cost to the owner for
parts  or  labour,  when  Maruti  Suzuki  acknowledges  that  such  a
defect is attributable to faulty material or workmanship at the time
of manufacture. Such defective parts, which have been replaced,
will become the property of Maruti Suzuki. The owner is responsi-
ble for any repair or replacements which are not covered by this
warranty. The decision of Maruti Suzuki shall be final & binding.

(4) Limitation:

This warranty shall not apply to:",What is Maruti Suzuki's obligation if a defect is found in one of their vehicles within the specified term?,"Maruti Suzuki's obligation, if a defect is found in one of their vehicles within the specified term, is to repair or replace the defective part with a new part or its equivalent at no cost to the owner for parts or labor."
"(4) Limitation:

This warranty shall not apply to: 

(a) Normal  maintenance  service  required  other  than  the  three
free  services,  including  without  limitation,  oil  and  fluid
changes, Consumables, headlight aiming, fastener retighten-
ing,  wheel  balancing,  wheel  alignment  and  tyre  rotation,
cleaning  of  injectors,  adjustments  of  clutch  and  valve  clear-
ance.

(b) The normal  wear  of  parts  including  without  limitation, bulbs,
tyres*  and  tubes,  spark  plugs,  belts,  hoses,  filters,  wiper
blades,  brushes,  contact  points,  fuses,  clutch  disc,  brake
shoes, brake pads, cable and all rubber parts (except oil seal
and glass run).

(c) Any  vehicle  which  has  been  used  for  competition,  rallies  or

racing.

(d) Any  repairs  or  replacement  arising  from  accidents  or  colli-

sion.",What are some examples of maintenance services that are not covered by the warranty?,"Some examples of maintenance services that are not covered by the warranty include oil and fluid changes, headlight aiming, wheel balancing, wheel alignment and tire rotation, cleaning of injectors, adjustments of clutch and valve clearance."
"racing.

(d) Any  repairs  or  replacement  arising  from  accidents  or  colli-

sion.

(e) Any  defect/  damage  caused  by  misuse,  negligence,  abnor-
mal use, insufficient care, vandalism, theft, riot, fire, flooding -
not  limited  to  entry  of  water  in  the  components  resulting  in
engine seizure, hydrostatic lock, etc. or external damages to
the body/ components.

(f) Any damage resulting due to usage of adulterated fuel/ lubri-
cants/  oil/  coolant/  fluids/  polishing  products  and  fuel/  lubri-
cants/  oil/  coolant/  fluids  used  other  than  those  specified  in
the Owner’s Manual.

(g) Any  vehicle  which  has  been  modified  or  altered,  including
without limitation, the installation of performance accessories,
enlargements  of  lights,  other  changes  and  external/  conse-
quential reasons.

(h) Any  vehicle  on  which  parts  or  accessories  not  approved  by
Maruti Suzuki (Non-MSGA, Non-MSGP) have been used.",What are some examples of situations or actions that are not covered under the warranty?,"Some examples of situations or actions that are not covered under the warranty include repairs or replacement arising from accidents or collisions, damage caused by misuse, negligence, or insufficient care, damage resulting from the usage of adulterated fuel or lubricants, modifications or alterations made to the vehicle without approval, and the use of parts or accessories not approved by Maruti Suzuki."
"(* - If there is a complaint related to tyre, the customer may contact
respective tyre manufacturer.)

(i) Any vehicle which has not been operated in accordance with
the operating instructions in this Owner’s Manual and Service
Booklet.

(j) Any  vehicle  which  has  not  received  the  service  inspections
prescribed in this Owner’s Manual and Service Booklet.
(k) Any  vehicle  which  has  been  assembled,  disassembled,
adjusted or repaired by other than a Maruti Suzuki authorised
workshop.

(l) Any  vehicle  which  has  been  used  for  purposes  other  than

what it was designed for.

(m) Any  damage  or  deterioration  caused  by  airborne  fallout,
industrial  fallout,  acid  rain,  hail  or  hail  storm,  wind  storm,
lightning, bird droppings, rodents bite / rat bite and such other
thing that result in damage to the vehicle.
Insignificant defects / noise which do not affect the function of
the  vehicle  including  without  limitation,  sound,  vibration  and
fluid seep.

(n)",What are some examples of situations where the customer may need to contact the respective tyre manufacturer?,The customer may need to contact the respective tyre manufacturer if there is a complaint related to the tyre.
"(n)

(o) Any natural wear and tear including without limitation, ageing,
wear  &  tear  or  deterioration  such  as  discoloration,  fading,
deformation or blurring and fabric discoloration.
Installation and usage of domestic LPG gas/LPG Cylinder.

(p)
(q) V-belts, hoses and gas leaks.
(r) Any vehicle retrofitted with LPG/CNG kits.
(s) Repainting  including  patchwork,  bodywork  and  mouldings

and interior trims.

(t) Corrosion, rusting of body parts and/ or components.
(u) Any vehicle on which odometer has been changed unautho-
risedly  or  odometer  reading  has  been  modified/  tampered
with/ or not matching the service records.

(v) The  damage(s)  caused  to  the  vehicle  being  unattended
despite  knowledge  that  the  defect  exists  and  ignorance  by
the owner/ user of the vehicle.

(w) Any damage(s) caused to vehicle including battery/ tyre due
to parking of the vehicle in idle condition for long duration of
time periods.",What are some examples of natural wear and tear that are not covered under the warranty?,"Some examples of natural wear and tear that are not covered under the warranty include discoloration, fading, deformation, blurring, fabric discoloration, and corrosion or rusting of body parts and/or components."
"(x) Any vehicle on which the retro-fitment is not authorized and/
or type approved as per the standards prescribed by the rele-
vant  authority  including  but  not  limited  to  Automotive  Stan-
dards of India.

(y) Any vehicle on which the retro-fitment is such which directly
or indirectly causes any damage to the vehicle or affects the
functions of the vehicle in any manner whatsoever.

(5) Extent of Warranty:
This warranty is the entire written warranty given by Maruti Suzuki
for  Maruti  Suzuki  vehicles  and  no  dealer  or  its  or  his  agent  or
employee is authorised to extend or enlarge this warranty and no
dealer or its or his agent or employee is authorised to make any
oral  warranty  or  representation  or  assurance  on  behalf  of  Maruti
Suzuki.
Maruti  Suzuki  reserves  the  right  to  add  any  improvements  or
change the design of any model at any time with no obligation to
make the same changes on units previously sold.",What are the conditions under which retro-fitment is not authorized or approved for a vehicle?,"Retro-fitment is not authorized or approved for a vehicle if it does not meet the standards prescribed by the relevant authority, including but not limited to Automotive Standards of India. Additionally, if the retro-fitment causes any damage to the vehicle or affects its functions in any way, it is also not authorized."
"(6) Warranty Service:
To  obtain  warranty  service,  the  complete  vehicle  must  be  pre-
sented at the owner’s expenses to Maruti Suzuki authorised work-
shop.
The customer shall be responsible for his belongings or accesso-
ries  fitted  in  the  vehicle  at  the  time  of  presenting  the  vehicle  for
service and no claim shall be entertained in any manner under any
circumstances.

(7) Owner’s Warranty Obligations:

NOTICE

The  owner shall  not use the vehicle  in a damaged  condi-
tion and report the same immediately to the nearest Maruti
Suzuki  authorized  workshop.  This  would  result  in  early
inspection and repair of the vehicle and any possible harm
to the person or aggravation of damage to the vehicle can
be prevented.

It is responsibility of each owner to:",What is the owner's responsibility regarding warranty service for their vehicle?,The owner's responsibility regarding warranty service for their vehicle is to present the complete vehicle at their own expense to a Maruti Suzuki authorized workshop.
"It is responsibility of each owner to:

– Have  performed,  at  his  own  expenses,  by  a  Maruti  Suzuki
authorised  workshop  all  the  service  inspections  specified  in
the Maruti Suzuki “Owner’s Manual and Service Booklet”
– Inform  and  provide  the  authorised  workshop  with  the

requisite  and  correct  details  or  information regarding the
vehicle  whenever requesting service inspections or warranty
service.

If  the  “Owner’s  Manual  and  Service  Booklet”  should  be  lost  or
destroyed the owner should consult the Maruti Suzuki authorised
dealer from whom the vehicle was purchased for instructions con-
cerning  replacement  of  the  “Owner’s  Manual  and  Service  Book-
let”.",What are the responsibilities of the owner according to the car manual guide?,"The responsibilities of the owner, according to the car manual guide, include having all service inspections performed at their own expense by a Maruti Suzuki authorized workshop and providing the workshop with the necessary and accurate details or information about the vehicle when requesting service inspections or warranty service. Additionally, if the ""Owner's Manual and Service Booklet"" is lost or destroyed, the owner should consult the Maruti Suzuki authorized dealer for instructions on how to replace it."
"(8) Disclaimer of Consequential Damage:
Maruti Suzuki assumes no responsibility for loss of vehicle, loss of
time, inconvenience or any other indirect incidental or consequen-
tial  damage  resulting  from  the  vehicle  not  being  available  to  the
owner because of any defect covered by this warranty.

(9) Change of Owner
Even if ownership of the vehicle changes, the remaining warranty
period is effective for the new owner.
This  warranty  is  applicable  only  in  India  and  not  transferable  to
any other country.

NOTE:
Notwithstanding  the  warranty  obligations,  Maruti  Suzuki  may
reuse reworked (refurbished) parts for undertaking rectification of
recalled vehicles in terms of applicable laws.

EMISSION WARRANTY POLICY",What does Maruti Suzuki assume no responsibility for in regards to the vehicle?,"Maruti Suzuki assumes no responsibility for loss of vehicle, loss of time, inconvenience, or any other indirect incidental or consequential damage resulting from the vehicle not being available to the owner because of any defect covered by this warranty."
"EMISSION WARRANTY POLICY

Maruti  Suzuki  offers  the  Emission  Warranty  on  all  Maruti  Suzuki
vehicles (apart from the Regular Warranty and will run parallel to
the regular product warranty) only in four metropolitan cities (New
Delhi, Kolkata, Mumbai and Chennai) with effect from July 1st,
2001.

Terms:
The  Emission  Warranty  will  be  applicable  for  80,000  kms  or  3
years  (Whichever  comes  earlier)  from  the  date  of  invoice  to  the
first owner. The remaining warranty terms will be valid in case of
any change in ownership provided the production of all valid docu-
ments.

Conditions:
1. Under Emission Warranty, Warranty claims will be admitted for
a  prima-facie  examination,  in  case  vehicle  fails  to  meet  the
Emission Standard as specified in sub rule (2) of rule no. 115 of
Central Motor Vehicles Rules (CMVR), 1989.",What is the duration of the Emission Warranty offered by Maruti Suzuki?,"The Emission Warranty offered by Maruti Suzuki is applicable for 80,000 kms or 3 years, whichever comes earlier, from the date of invoice to the first owner."
"2. The  warranty  claims  will  only  be  accepted  after  examination
carried out by Maruti Suzuki or Maruti Suzuki authorised work-
shop which leads to firm conclusions that the
a) Original settings have not been tampered in any case.
b) Part (as given in Annexure - A) has a manufacturing defect.
c) Vehicle is unable to meet the Emission Standards (as given
in  1.),  inspite  of  the  vehicle  having  been  maintained  and
used  in  accordance  with  the  instructions  as  specified  in
Owner’s Manual and Service Booklet and the used fuel and
different oils (Engine oil, Transmission oil, Brake oil etc.) are
also as per specification.",What are the conditions that need to be met in order for warranty claims to be accepted?,"The conditions that need to be met in order for warranty claims to be accepted are as follows:
a) The original settings have not been tampered with in any case.
b) The part specified in Annexure - A has a manufacturing defect.
c) The vehicle is unable to meet the Emission Standards, despite being maintained and used according to the instructions in the Owner's Manual and Service Booklet, and using the specified fuel and oils."
"3. The  method  of  examination  for  deciding  the  warranty  of  the
parts will be at the sole discretion of Maruti Suzuki and Maruti
Suzuki authorised workshop and results of the examination will
be final and binding. If after examination, the warrantable con-
dition  is  not  established,  Maruti  Suzuki  and  Maruti  Suzuki
authorised workshop has the right to charge all, or part of the
cost of such examination.

4. Under Emission Warranty, the parts (as given in Annexure - A)
will  be  changed  free  of  cost,  but  the  consumables  will  be
charged as per actual.

5.

If the part covered under Emission Warranty or the associated
parts, are not independently replaceable, on account of these
being integral parts of a complete assembly, Maruti Suzuki and
Maruti  Suzuki  authorised  workshop  will  have  the  sole  discre-
tion to replace either the entire assembly or by using some of
the  parts  of  the  system  through  suitable  repairs  or  modifica-
tions.",What is the method of examination for deciding the warranty of the parts in the car manual guide?,The method of examination for deciding the warranty of the parts in the car manual guide is at the sole discretion of Maruti Suzuki and Maruti Suzuki authorised workshop. The results of the examination will be final and binding.
"6. Any consequential repairs or replacement of parts which may
be found necessary to establish compliance of Emission War-
ranty, will not be considered under warranty, unless the same
is under product warranty. The consumable will be charged as
per actual under such repair or replacement.

7. Maruti Suzuki will not be responsible for the cost of transporta-
tion  of  the  vehicle  to  the  nearest  Maruti  Suzuki  authorised
workshop  or  any  loss  due  to  non-availability  of  the  vehicle
during the period of lodging of a warranty claim and examina-
tion and/or repair by Maruti Suzuki authorised workshop.

8. Maruti Suzuki will not be responsible for any penalty that may
be  charged  by  statutory  authorities  on  account  of  failure  to
comply with the EMISSION STANDARDS.

9. Emission Warranty will not be affected by the change of owner,

provided all the documents are available.",What repairs or replacements will be considered under warranty for compliance with the Emission Warranty?,"Any consequential repairs or replacement of parts necessary to establish compliance of Emission Warranty will be considered under warranty, as long as they are under product warranty."
"provided all the documents are available.

10. All maintenance actions (as specified in the Owner’s Manual
and Service Booklet) need to be followed and recorded in the
manual for emission warranty.

11. The  customer  needs  to  produce  the  PUC  (Pollution  Under
Control)  certificate  valid  for  the  period  preceding  the  test
during  which  the  failure  is  discovered.  The  records  /
receipts  (for  the  maintenance  of  the  vehicle  as  per
maintenance  schedule  specified  in  the  Owner’s  Manual and
Service Booklet from the date of original purchase of the
vehicle) will also be required.

Conditions under which the Emission Warranty is not
APPLICABLE

In the absence of valid PUC certificate.

1.
2. Vehicle not serviced from Maruti Suzuki authorised workshop

as per the schedule specified in the Owner’s Manual.

3. Vehicle subjected to abnormal use (accident, motor race, ral-

lies or for the purpose of establishing the records etc).",What documents are required to be recorded in the manual for emission warranty?,All maintenance actions specified in the Owner's Manual and Service Booklet need to be followed and recorded in the manual for emission warranty.
"lies or for the purpose of establishing the records etc).

4. Use of non MSGP (Maruti Suzuki Genuine Part).
5. Vehicle that has been tampered with.
6. Tampering with odometer so that the actual kilometer reading

cannot be determined.

7. Use  of  adulterated  fuel  and/or  unspecified  oils  (Engine  oil,

Transmission oil and Brake oil etc).

Annexure - A
List of parts (if applicable) covered under Emission Warranty
1. Fuel  Injection  Assembly,  Pressure  Regulator,  Throttle  Body

Assembly.

Intake Manifold.

2. Electronic Control Module (ECM).
3.
4. EGR valve.
5.
Ignition Coil.
6. Canister Assembly.
7. Vapour Liquid Seperator.
8. Fuel Tank and Filler Cap.
9. PCV (Positive Crankcase Ventilation) Valve.
10. Oil Filler Cap.
11. Catalytic Convertor.
12. Exhaust Manifold.
13. All Fuel Injection System related Sensors.
14. High Pressure Fuel Pump.
15. Glow Plug.
16. Glow Plug Controller.

QUICK GUIDE",What are some examples of parts covered under the Emission Warranty?,"Some examples of parts covered under the Emission Warranty include the Fuel Injection Assembly, Pressure Regulator, Throttle Body Assembly, Intake Manifold, Electronic Control Module (ECM), EGR valve, Ignition Coil, Canister Assembly, Vapour Liquid Separator, Fuel Tank and Filler Cap, PCV (Positive Crankcase Ventilation) Valve, Oil Filler Cap, Catalytic Converter, Exhaust Manifold, All Fuel Injection System related Sensors, High Pressure Fuel Pump, Glow Plug, and Glow Plug Controller."
"QUICK GUIDE

QUICK GUIDE
Illustrated Table of Contents .............................................. 1-1
Warning Lights and Indicators  .......................................... 1-9
Warning Buzzer  ................................................................... 1-17

1

59RN00020

55TH0-74E

QUICK GUIDE

Illustrated Table of Contents

Exterior

(1) Door (P.3-1)
(2) Door Locks (P.3-2)
(3) Outside Rearview Mirror (P.2-10)
(4) Windshield Wiper (P.3-27, 9-35)
(5) Fuel Filler Cap (P.7-1)
(6) Radio Antenna (P.7-27)
(7) High Mount Stop Light (P.9-32)
(8) Tailgate (P.3-4)
(9) Rear Window Wiper (if equipped)

(P.3-28, 9-36)

(10) Rear Camera (if equipped)

(P.5-66, 5-97)

(11) Side turn signal light on outside rear-
view mirrors (if equipped) (P.9-31)
(12) Side Camera (if equipped) (P.5-66)
(13) Side turn signal light on fender

(if equipped) (P.9-30)

(14) Daytime  running  light  (D.R.L.)

(P.3-23),Position  light  (P.9-31),Front
Turn Signal  Light 
(if equipped)

(P.3-24,  9-31)",What are some of the exterior features listed in the illustrated table of contents?,"Some of the exterior features listed in the illustrated table of contents include the door, door locks, outside rearview mirror, windshield wiper, fuel filler cap, radio antenna, high mount stop light, tailgate, rear window wiper (if equipped), rear camera (if equipped), side turn signal light on outside rearview mirrors (if equipped), side camera (if equipped), daytime running light (D.R.L.), position light, and front turn signal light (if equipped)."
"(P.3-23),Position  light  (P.9-31),Front
Turn Signal  Light 
(if equipped)

(P.3-24,  9-31)

(15) Position light (P.9-31) (if equipped)
(16) Headlight (P.3-20, 9-30)
(17) Engine Hood (P.7-4)
(18) Front Camera (if equipped) (P.5-66)
(19) Towing Eye Cover (P.10-2)
(20) Brake Light &Tail Light (P.9-32)
(21) Reversing Light (P.9-32)
(22) Rear Turn Signal Light (P.3-24, 9-32)
(23) Tail Light (P.9-32)
(24) Parking sensor (P.5-92)
(25) License Plate Light (P.9-32)
(26) Front Turn Signal Light (P.3-24, 9-31)

(if equipped)

1-1

(1)

(2)

(3)

(13)

(4)

(5)

(6) (7) (8) (9) (10)

(11)

(12)

Halogen 

LED 

(17)

(18)

(19)

(25)

(24)

(24)

(15)

(26)

(14)

Halogen 

(16)

LED 

(20)

(22)

(21)

(23)

55TB1009

55TH0-74E

(1) (2)

(3)

(5)

(6)

(7)

(8)

QUICK GUIDE

(4)

Interior, Side

(1) Inside Rearview Mirror (P.2-8)
(2) Front Interior Light (P.7-7, 9-32)
(3) Sun Visor (P.7-6)
(4) Warning Label for Front Passenger's 

Front Airbag (P.2-40) *1, *2",What are the different lights mentioned in the car manual guide?,"The different lights mentioned in the car manual guide are the position light, front turn signal light, headlight, brake light & tail light, reversing light, rear turn signal light, tail light, front turn signal light, and license plate light."
